"순번","시군명","약국명","도로명주소","전화번호","운영시간","근무일","근무주기","자료출처","공개여부","작성일","갱신주기"
"17","전주시","전라약국","전주시 덕진구 안덕원로 146","063-252-4861","09:00~21:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"18","전주시","전북약국","전주시 덕진구 안덕원로 296 (인후동1가)","063-241-9100","09:00~20:00","일요일","2주/4주","보건의료과","Y","2015-10","수시"
"19","전주시","365열린약국","전주시 덕진구 백제대로 630-1 (금암동)","063-276-8576","10:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"20","전주시","고약국","전주시 덕진구 신복5길 5 (팔복동1가)","063-211-0706","09:00~22:00","일요일","4주","보건의료과","Y","2015-10","수시"
"21","전주시","동산종로약국","전주시 덕진구 편운로 6 (동산동)","063-211-3286","10:30~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"22","전주시","한일약국","전주시 덕진구 기린대로 696","063-212-0946","09:00~22:00","일요일","2주/5주","보건의료과","Y","2015-10","수시"
"23","전주시","보령약국","전주시 덕진구 무삼지로 77 (인후동1가)","063-246-5050","09:00~16:00","일요일","1주","보건의료과","Y","2015-10","수시"
"24","전주시","한사랑약국","전주시 완산구 기린대로 1-1 (교동)","063-244-1251","10:00~21:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"25","전주시","회광약국","전주시 덕진구 아중로 154 (인후동1가)","063-245-9413","09:00~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"26","전주시","역전종로","전주시 덕진구 백제대로 820 (우아동3가)","063-241-1747","12:00~21:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"27","전주시","염약국","전주시 완산구 기린대로 1-1 (교동)","063-275-7989","08:30~23:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"28","전주시","전주플러스약국","전주시 덕진구 백제대로 771 (우아동3가)","063-243-9542","10:30~23:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"29","전주시","시장약국","전주시 완산구 태평3길 43 (태평동)","063-271-0468","09:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"30","전주시","정화약국","전주시 완산구 반촌로 21 (서노송동)","063-252-4586","11:00~21:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"31","전주시","송약국","전주시 완산구 풍남문4길 5","063-284-3858","13:00~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"32","전주시","서신토마토약국","전주시 완산구 온고을로 66 (서신동)","063-274-5755","14:00~21:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"33","전주시","서신태평양약국","전주시 완산구 당산로 102 (서신동)","063-252-9270","14:00~18:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"34","전주시","이마트약국","전주시 완산구 당산로 106 (서신동)","063-255-3520","14:00~18:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"35","전주시","장미약국","전주시 완산구 서신로 109 (서신동)","063-275-7752","09:00~13:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"36","전주시","전주대형약국","전주시 완산구 당산로 50 (서신동)","063-278-3060","09:00~14:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"37","전주시","백화점약국","전주시 완산구 온고을로 26 (서신동)","063-255-8275","09:00~16:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"38","전주시","고려약국","전주시 완산구 팔달로 196 (경원동3가)","063-284-5767","10:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"39","전주시","관통약국","전주시 완산구 팔달로 181 (경원동1가)","063-284-3916","13:00~18:00","일요일","2주","보건의료과","Y","2015-10","수시"
"40","전주시","새구세약국","전주시 완산구 전주객사2길 11 (다가동3가)","063-288-3920","08:00~24:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"41","전주시","전흥약국","전주시 완산구 기린대로 72 (풍남동3가)","063-284-3434","13:00~23:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"42","전주시","현대약국","전주시 완산구 팔달로 193 (고사동)","063-284-2730","10:00~22:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"43","전주시","희망약국","전주시 완산구 장승배기로 200 (평화동1가)","063-228-2490","10:00~18:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"44","전주시","토마토약국","전주시 완산구 모악로 4746 (평화동1가)","063-225-8709","14:00~21:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"45","전주시","평화대성약국","전주시 완산구 모악로 4746 (평화동1가)","063-231-4477","08:00~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"46","전주시","마이약국","전주시 완산구 거마평로 6 (삼천동1가)","063-221-3597","09:00~22:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"47","전주시","유한약국","전주시 완산구 장승배기로 266 (평화동1가)","063-287-6770","10:00~16:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"48","전주시","메디팜전주약국","전주시 완산구 기린대로 170","063-285-4624","10:00~23:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"49","전주시","열린사랑약국","전주시 완산구 기린대로 233-5","063-231-7585","10:00~14:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"50","전주시","청수약국","전주시 완산구 기린대로 55 (교동)","063-283-1459","10:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"51","전주시","가나약국","전주시 완산구 한두평3길 8 (중화산동2가)","063-226-4488","10:30~18:00","일요일","2주","보건의료과","Y","2015-10","수시"
"52","전주시","전주종로약국","전주시 완산구 백제대로 262 (중화산동2가)","063-226-7585","11:00~21:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"53","전주시","녹십자약국","전주시 완산구 용머리로 25-1 (효자동1가)","063-227-8011","10:00~20:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"54","전주시","미소약국","전주시 완산구 백제대로 94 (효자동1가)","063-221-8593","09:00~17:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"55","전주시","사랑약국","전주시 완산구 백제대로 74 (삼천동1가)","063-229-1408","08:00~23:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"56","전주시","삼인당약국","전주시 완산구 용리로 142 (삼천동1가)","063-224-2266","12:00~21:00","일요일","2주/4주","보건의료과","Y","2015-10","수시"
"57","전주시","솔빛약국","전주시 완산구 용머리로 31","063-222-3343","10:00~22:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"58","전주시","엔젤약국","전주시 완산구 효자천변1길 27 (효자동1가)","063-227-2007","16:00~21:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"59","전주시","엔젤팜약국","전주시 완산구 백제대로 141","063-236-4427","14:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"60","전주시","전주약국","전주시 완산구 백제대로 100 (효자동1가)","063-236-2800","09:00~17:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"61","전주시","친절한종로약국","전주시 완산구 우전로 240 (효자동2가)","070-4105-5153","10:00~22:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"62","전주시","드림약국","전주시 완산구 호암로 59 (효자동2가)","063-224-5151","09:00~14:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"63","전주시","늘푸른약국","전주시 완산구 세내로 285","063-226-2276","09:00~17:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"64","전주시","다솜약국","전주시 완산구 우전로 250 (효자동2가)","063-226-3343","09:00~18:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"65","김제시","21세기박약국","김제시 서낭당길 3","063-547-2386","09:00~19:00","일요일","연중","보건의료과","Y","2015-10","수시"
"66","군산시","365일행복한약국","군산시 공단대로 383","063-462-1010","10:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"67","익산시","건강당약국","익산시 무왕로 13길3","041-732-3233","08:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"68","김제시","건강종합약국","김제시 남북로 220","063-547-2073","08:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"69","남원시","건강한약국","남원시 용성로 113","063-633-2929","09:00~19:00","일요일","-","보건의료과","Y","2015-10","수시"
"70","부안군","국민약국","부안군 변산면 격포항길 9","063-583-8010","08:30~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"71","익산시","그랜드약국","익산시 인북로 342","063-842-4824","09:00~23:00","일요일","-","보건의료과","Y","2015-10","수시"
"72","고창군","김약국","고창군 고창읍 보릿골로 8","063-564-2159","17:00~22:00","일요일","-","보건의료과","Y","2015-10","수시"
"73","남원시","남원백제약국","남원시 용성로 102","063-633-1233","08:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"74","임실군","남중약국","임실군 관촌면 사선로 48","063-642-0102","09:00~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"75","정읍시","내장산약국","정읍시 중앙로 152","063-535-3831","08:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"76","김제시","녹십자약국","김제시 남북로 225 동광빌딩","063-545-7275","09:00~16:00","일요일","-","보건의료과","Y","2015-10","수시"
"77","김제시","뉴시장약국","김제시 남북로 223","063-546-6533","09:00~14:00","일요일","-","보건의료과","Y","2015-10","수시"
"78","정읍시","명동약국","정읍시 중앙로 148","063-538-7755","10:00~22:00","일요일","-","보건의료과","Y","2015-10","수시"
"79","무주군","무주약국","무주군 무주읍 주계로 113","063-322-2316","09:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"80","군산시","백약국","군산시 문화로 127 (수송동)","070-8834-3553","09:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"81","고창군","백제약국","고창군 고창읍 중앙로 215","063-564-0683","09:00~17:00","일요일","-","보건의료과","Y","2015-10","수시"
"82","장수군","보건약국","장수군 산서면 동백로 10","063-351-3440","08:00~20:00","일요일","연중","보건의료과","Y","2015-10","수시"
"83","완주군","삼우약국","완주군 봉동읍 봉동로 127","063-261-9908","10:00~17:00","일요일","-","보건의료과","Y","2015-10","수시"
"84","완주군","삼일약국","완주군 삼례읍 동학로 39-1","063-276-9824","08:00~20:00","일요일","-","보건의료과","Y","2015-10","수시"
"85","익산시","새천년건강한약국","익산시 배산로8길 3","063-261-8999","09:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"86","익산시","새천년약국","익산시 중앙로 179-1","063-843-2851","07:30~15:00","일요일","연중","보건의료과","Y","2015-10","수시"
"87","정읍시","샘골약국","정읍시 수성로 50","063-538-0222","08:30~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"88","김제시","서울약국","김제시 죽산면 죽산로 141","063-546-2929","07:00~21:00","일요일","-","보건의료과","Y","2015-10","수시"
"89","부안군","선인약국","부안군 부안읍 번영로 155","063-584-6153","09:00~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"90","정읍시","성모약국","정읍시 중앙로 10","063-535-2384","09:00~20:00","일요일","-","보건의료과","Y","2015-10","수시"
"91","남원시","세계로약국","남원시 남문로 395","063-632-1733","09:00~16:00","일요일","-","보건의료과","Y","2015-10","수시"
"92","익산시","세계로약국","익산시 동서로 229","063-857-7100","10:00~13:30","일요일","-","보건의료과","Y","2015-10","수시"
"93","군산시","소룡백제약국","군산시 공단대로 593","063-464-7577","09:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"94","군산시","수송우리약국","군산시 월명로 205","063-466-7784","07:30~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"95","군산시","수송우리약국","군산시 월명로 205","063-466-7784","10:00~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"96","순창군","순창약국","순창군 순창읍 순창로 228","063-653-4144","08:00~17:30","일요일","-","보건의료과","Y","2015-10","수시"
"97","정읍시","신우약국","정읍시 태인면 태인로 27-3","063-534-4053","08:30~20:00","일요일","-","보건의료과","Y","2015-10","수시"
"98","김제시","신화약국","김제시 두월2길 6","063-547-2665","09:00~17:00","일요일","-","보건의료과","Y","2015-10","수시"
"99","완주군","십자약국","완주군 고산면 고산로 90","063-263-4114","07:00~21:00","일요일","연중","보건의료과","Y","2015-10","수시"
"100","익산시","약손약국","익산시 함열읍 함열중앙로 7","063-861-1033","09:00~22:30","일요일","연중","보건의료과","Y","2015-10","수시"
"101","익산시","왕궁온천약국","익산시 춘포면 궁성로 130","063-291-1622","09:00~21:00","일요일","-","보건의료과","Y","2015-10","수시"
"102","정읍시","우리약국","정읍시 초산로 80-1","063-533-7729","08:30~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"103","익산시","우성약국","익산시 평동로7길 79","063-855-3233","09:00~20:00","일요일","-","보건의료과","Y","2015-10","수시"
"104","장수군","유약국","장수군 장계면 한들3길 6-1","063-352-0786","09:00~19:00","일요일","연중","보건의료과","Y","2015-10","수시"
"105","익산시","유일약국","익산시 금마면 금마길 43","063-836-6213","09:00~19:00","일요일","-","보건의료과","Y","2015-10","수시"
"106","익산시","익산고려종합약국","익산시 하나로 434","063-834-2220","09:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"107","익산시","익산플러스약국","익산시 무왕로 1035","063-859-8067","10:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"108","임실군","임실약국","임실군 임실읍 봉황로 139","063-642-5535","09:00~17:00","일요일","-","보건의료과","Y","2015-10","수시"
"109","고창군","진약국","고창군 흥덕면 선운대로 3728","063-562-6333","08:00~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"110","정읍시","천일약국","정읍시 새암길 47","063-535-2377","08:00~16:00","일요일","연중","보건의료과","Y","2015-10","수시"
"111","정읍시","큰사랑약국","정읍시 남북로 39","063-535-5268","09:00~10:00","일요일","-","보건의료과","Y","2015-10","수시"
"112","부안군","프라자약국","부안군 부안읍 번영로 156","063-581-1157","08:30~12:00","일요일","-","보건의료과","Y","2015-10","수시"
"113","군산시","하나약국","군산시 공단대로 388","063-465-4555","09:00~18:00","일요일","-","보건의료과","Y","2015-10","수시"
"114","군산시","하늘약국","군산시 수송안길 50","063-466-8763","09:00~18:00","일요일","연중","보건의료과","Y","2015-10","수시"
"115","익산시","한마음약국","익산시 무왕로 1122 대광빌딩","063-832-6450","09:00~13:00","일요일","-","보건의료과","Y","2015-10","수시"
"116","부안군","한사랑약국","부안군 부안읍 오정2길 23","063-581-1300","09:00~22:00","일요일","연중","보건의료과","Y","2015-10","수시"
"117","김제시","화타약국","김제시 동서로 241","063-542-8155","09:00~20:00","일요일","-","보건의료과","Y","2015-10","수시"
"118","임실군","희망약국","임실군 임실읍 봉황로 203-1","063-644-4200","08:00~16:00","일요일","-","보건의료과","Y","2015-10","수시"
